Bug Id,Summary,Description,Workaround,Products,Type,Fixed In,Modified Date
708956, Incorrect Code Generation: Incorrect code generation when multiple bus objects with the same hierarchical structure are used,"If you use multiple bus objects with the same hierarchical structure but with different data types for some of the leaf elements, Real-Time Workshop generates incorrect typedef struct  definitions. In the generated code, Real-Time Workshop incorrectly defines such dissimilar bus objects to have the same struct  type. ",,Simulink Coder,Incorrect Code Generation,"R2010bSP1, R2011a",08 Apr 2011
708668, Segmentation fault when generating code for a model using variant subsystems,"You might see a segmentation fault when you generate code for a model containing variant subsystems, if You are generating preprocessor conditionals for those variant subsystems Any of the variants contain a subsystem that generates a reusable function, and that subsystem is reused elsewhere in the model, outside of any variant subsystem.  ? ","To avoid this problem, for all subsystems inside variant subsystems, on the Code Generation tab of the Block Parameter dialog, set the value of Function packaging to Function or Inline, so that the code generator does not attempt to generate reusable functions for these subsystems.",Simulink,Other,"R2010bSP1, R2011a",07 Apr 2011
706337, Incorrect Code Generation: Incorrect Code Generation for initialization of states that have fixed-point or enumerated data types.,"The generated code for initializing a block state might be incorrect if any of the following are true: The state data type is a fixed-point data type with a nonzero bias, and the initial value of the state is specified as the value of the bias.  The state data type is an enumerated data type whose default enumeration does not map to the integer value zero, and the initial value of the state is specified as the enumeration that maps to zero.  The state data type is a structure that has an element that falls into one of the previous two cases, or the structure has a substructure with such an element.  In the case of the fixed-point data type, the state might be initialized to the real world value zero. In the case of the enumerated data type, the state might be initialized to the default enumeration. ",,Embedded Coder,Incorrect Code Generation,"R2010bSP1, R2011a",07 Apr 2011
706307, Simulink Verification and Validation tool may throw errors or warnings while generating reports,"When generating reports through Simulink Verification and Validation tool, errors or warnings similar to the following may appear and report creation may fail: In component rptgen.cml_eval : No appropriate method, property, or field isInsertString for class rptgen.cml_eval.  ","?Log in to an account with appropriate permissions to overwrite files in your MATLAB installation. On Linux systems, this is typically the root account.Locate your MATLAB installation by typing matlabroot at the MATLAB command prompt. This folder is referred to as <MATLAB> in subsequent steps.Exit MATLAB.Download the attached .zip file associated with this Bug Report and store the file in the <MATLAB> folder.Make a backup copy of each of the files listed in the .zip file. To see the contents of the .zip file: Windows Systems: Open the .zip file and look at the contents.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh):unzip -l <MATLAB>/<.zip file>Extract the files from the .zip file. Windows Systems: Open the .zip file.Extract the contents of the file to your <MATLAB> folder.Linux/Macintosh Systems: Type the following in a shell (Linux) or in a terminal window (Macintosh): cd <MATLAB>unzip <.zip file>Delete the .zip file in the <MATLAB> folder.?",Simulink Check,Other,"R2010bSP1, R2011a",22 Dec 2011
705021, Incorrect Code Generation: Calls to custom-code functions from Stateflow transitions are sometimes incorrectly optimized away,"One of the code generation optimizations tries to identify identical code in both branches of an if-else construct and replace them with a single, unconditional copy of the branch code. For example, the optimization converts the pattern labeled ""BEFORE"" to the pattern labeled ""AFTER"": BEFORE: if(c==1) {   x = x+1;   y = sin(1);}else{   x = x+1;   y = sin(1);} AFTER:    x = x+1;   y = sin(1); This optimization sometimes identifies calls to different custom-code functions as being the same and wrongly optimizes them. Specifically, under the following conditions, calls to custom-code functions from Stateflow transitions get incorrectly optimized away: 1. The diagram has a flow-graph construct that results in the following pattern: if(condition) {   foo();}else{   bar();} where foo() and bar() are user functions defined in custom C-code. Note that the calling signatures for foo() and bar() must be identical if they have any input arguments. For example, if foo() and bar() have an input argument, then the calls should be passing in identical inputs as in {foo(2), bar(2)} or {foo(a+b), bar(a+b)}. 2. The option for Simulink block / Stateflow object comments  is turned off in the Configuration Parameters dialog. Existence of traceability comments or non-identical user-comments causes the pattern match to fail and the bug does not occur. Under these two conditions, the optimization incorrectly infers that foo() and bar() are identical and replaces the above construct with just: foo(); ","In the Comments pane of the Configuration Parameters dialog, select Simulink block / Stateflow object comments. This option creates distinct comments in the if-else branches that stop this optimization from doing this incorrect pattern match.",Embedded Coder,Incorrect Code Generation,"R2010bSP1, R2011a, R2011b",01 Sep 2011
703481, Simulink Design Verifier sporadically throws an exception during the compatibility check.,"Simulink Design Verifier sporadically throws an exception during compatibility checking of a model that contains state variables that are read multiple times, for example, Data Store Memory blocks. ",,Simulink Design Verifier,Other,"R2010bSP1, R2011a, R2011b",01 Sep 2011
702315," Incorrect Code Generation: For charts with local events, exit actions sometimes get removed from generated code","Suppose that a Stateflow chart satisfies all of the following conditions: It has local events, either explicit or implicit. It has a parent state with two or more substates. Some (but not all) child substates have exit actions.  Under certain circumstances, some of the exit actions can disappear from the generated code. The attached model mg702315.mdl demonstrates the problem. In this model, when the outer state ""A"" is exited, the exit action of ""A2"" needs to execute. However, when debugging is turned off, or when code is generated for the model, the exit action is not executed. The attached function findProblemStates  finds any states that are affected by this issue. Please see its help for how to use it. Running this function as: >> findProblemStates('mg702315'); after opening the attached model will print out the following message at the MATLAB prompt: Warning: State A has some child states whose exit actions might disappear! with the state name (in this case ""A"") hyperlinked to open the state. ","This bug can be avoided by executing the following command once per sesson before generating code:sf('feature','Optimized Exit Fcns',0);You can add this command to your startup.m file so that it executes in every session. You can also add this command to the file toolbox/stateflow/stateflow/private/sfinit.m so that it executes every time you load a chart. Doing so helps you avoid this bug in the generated code.The only other effect of this command is to turn off a minor readability feature that minimizes switch statements in state exit functions. No observable effect on the code efficiency exists when you turn off this optimization.",Stateflow,Incorrect Code Generation,"R2010bSP1, R2011a",06 Apr 2015
701291, Model Explorer search can cause error if you search again or open the Contents pane,"After you perform a search using the Model Explorer and then you either select the Contents  tab or you perform another search, you may see an error that starts with text similar to the following: ??? No appropriate method, property, or field Name for class DAStudio.MEViewProperty. Error in ==> DAStudio.MEViewManager.enableLiveliness>clearTransientProperties at 259                 if strcmp(view.Properties(index).Name, view.GroupName) Error in ==> DAStudio.MEViewManager.enableLiveliness>doSearchPropertiesAdded at 215         clearTransientProperties(actView); Error in ==> DAStudio.MEViewManager.enableLiveliness>syncMEViewManagerFromME at 89     doSearchPropertiesAdded(eventData, manager); Warning: Error occurred while evaluating listener callback.  ","To recover from this error:Near the top of the Model Explorer Contents pane, select Show Details (if the column view details section does not already appear).In the column view details section, click the Options button.Select Reset This View to Factory Settings.",Simulink,Other,"R2010bSP1, R2011a",29 Jul 2015
700161, Incorrect explicit type cast to custom data type in generated code when Prelookup block uses Simulink.NumericType,"A custom data type is used in lookup table utility functions. Currently, Simulink.NumericType  or Simulink.AliasType  type names cannot be used in the shared utility code that is generated from lookup table blocks. ",,Simulink Coder,Other,"R2010bSP1, R2011a",07 Apr 2011
699298, Model block SIL/PIL error when using Function Prototype Control and tunable parameters,The following Model block SIL/PIL error occurs when the component under test uses Function Prototype Control to specify a step function return value (for an outport) and  has tunable parameters: Error using ==> CodeInfoUtils.CodeInfoUtils>CodeInfoUtils.getDataInterfacesForFunction at 525 CAT arguments dimensions are not consistent. ,,Embedded Coder,Other,"R2010bSP1, R2011a",07 Apr 2011
698938, Sample time propagation issue in Simulink can adversely impact some Simscape models,"Sample time propagation issue in Simulink can adversely impact some Simscape models. This Simulink issue causes a port-based sample time block to have a continuous, [0,0], sample time on an input port. Instead, this block should have a fixed in minor step, [0,1], sample time. If the input signal to a Simscape S-PS Converter block has a fixed in minor step sample time (for example, Rate Transition block output), Simscape might fail to react to discontinuities in the input signal. For Simulink, a port-based sample time block (for example, a Simscape block) must have the following conditions for the issue to occur: Inherits a fixed in minor step sample time on an input port Inherits a continuous sample time on all output ports Has a subsystem boundary between the input port with the inherited fixed in minor step sample time and the block that propagates [0,1] to it Exists in a model for which inline parameters are disabled.  This issue originated in Simulink in R12.1, but did not impact Simscape until R2010b. ",,Simulink,Other,"R2010bSP1, R2011a, R2011b",01 Sep 2011
697339, Segmentation violation when generating code for all variant subsystems if Data Store Memory blocks are missing,A segmentation violation occurs when generating code for all variants if Data Store Read blocks in variant subsystems do not have corresponding Data Store Memory blocks. You should see an error instead. ,Ensure that a corresponding Data Store Memory block exists for every Data Store Read blocks used in variant subsystems.,Simulink,Other,"R2010bSP1, R2011a",02 Oct 2014
696736, Junctions disappear inside subcharts that are grouped,"A data-structure corruption occurs when a subchart with junctions is grouped (for example, by double-clicking it) and then a hierarchy rebuild occurs (for example, when you navigate up out of the subchart and then back into it). After the hierarchy rebuild, the junctions in the subchart might still be visible, but the firstJunction  property is lost.  As a result, the junctions eventually become invisible (for example, if you save/load the model or navigate up and down the hierarchy twice). ","Do not group a subchart. If your model is already corrupted or you suspect it is corrupted, extract attached zip and run the corruptionDetector.m script.  This script detects corruptions in your model and explains how to fix it manually. Only one edit to the model file is required per corrupted subchart.",Stateflow,Other,"R2010bSP1, R2011a, R2011b",07 Sep 2011
696668, Segmentation violation when displaying variant subsystem if the mask drawing code contains set_params,"If the mask icon drawing code of blocks inside inactive variants contains a set_param call, then you may see a segmentation violation when Simulink tries to render the block on the screen. ","To avoid this problem, do not change a value on the block during drawing. Do not use set_param in the mask icon display section.",Simulink,Other,"R2010bSP1, R2011a",05 Aug 2015
696511," When multiple constraints are associated to a single model object, Simulink Design Verifier throws an error when generating the analysis report.","When multiple constraints, such as sldv.condition , are specified on the same model object, Simulink Design Verifier cannot generate the analysis report. ",,Simulink Design Verifier,Other,"R2010bSP1, R2011a",07 Apr 2011
696318, Identical For Each subsystems may cause TLC code generation error,A TLC error may occur when you generate code for a model if the model contains two idential subsystems that each contains both : A For Each block A subsystem that also contains a For Each block  ,,Simulink,Other,"R2010bSP1, R2011a",30 Mar 2015
696228, Variant subsystem with preprocessor conditionals doesn't work in simplified initialization mode.,Enabling 'Generate preprocessor conditionals' on a Variant subsystem will not work with 'Underspecified initialization detection' is set to Simplified. ,,Simulink,Other,"R2010bSP1, R2011a, R2011b",01 Sep 2011
696088, Assertion during code generation for Switch block,"Code generation might cause an assertion under all of the following conditions: A [m,n]  matrix signal is the input to a Selector block, which produces a [1,n]  output signal. The Selector block output signal connects to a Switch block, which has at least one other [n]  input signal.  ","Reshape the [n] input signal(s) connected to the Switch block to [1,n].",Simulink Coder,Other,"R2010bSP1, R2011a",07 Apr 2011
695761, Using matrices of structures in Embedded MATLAB code might produce incorrect results,"You might get incorrect simulation results or generated code if you use matrices in Embedded MATLAB code where each element is a structure that contains at least one matrix field. This bug can occur in Embedded MATLAB Function blocks in Simulink models, Embedded MATLAB functions in Stateflow charts, and code compiled with emlc . For an example, see the attached MATLAB file CompositeMatrices.m . To reproduce the problem, follow these steps: Produce baseline results by running CompositeMatrices  in MATLAB Build a MEX file using this command: emlc CompositeMatrices  Run the MEX file CompositeMatrices . The MEX results differ from the MATLAB results.  ",,Simulink Coder,Other,"R2010bSP1, R2011a, R2011b",01 Sep 2011
695597, Incorrect block initialization and code generation when a subsystem is inside another subsystem that contains a For Each block,"Generated code does not correctly initialize the block output, dwork or zero-crossing for a block inside a function-call subsystem under the following conditions: The block is not inside a subsystem in that function-call subsystem The function-call subsystem is inside another subsystem which contains a For Each block  ","As a workaround, add an atomic subsystem in such function-call subsystem and move the block into this atomic subsystem.",Simulink,Other,"R2010bSP1, R2011a",17 Dec 2012
694912, MATLAB ceases execution without any stack trace or error while simulating with implicit Simulink solver,An uncaught memmory allocation error causes MATLAB to stop running without any stack trace or error. This memory allocation exception occours when the model has large dimension signals and uses:  An implicit solver  A solver Jacobian method other than full perturbation  This result is due to the need for more memory and time to get the sparse pattern information. ,"On the Solver pane of the Configuration Parameters dialog box, select 'Full perturbation' for the solver Jaobian method parameter.",Simulink,Other,"R2010bSP1, R2011a",29 Jul 2015
